ID,상호명,업종,주소,구,동,지역권,메인메뉴,가격_원,주차유형,혼밥,2~4인,가족식사,단체수용,리뷰요약,추천태그,신뢰도,챗봇추천문장
76,료카츠,돈가스,전북특별자치도 전주시 덕진구 금암동 720-32 1층 료카츠,덕진구,금암동,전북대·금암동권,로스카츠,12000,매장 앞 협소,추천,추천,가능,비추천,키오스크 주문과 바 좌석이 있어 혼밥에 적합하다. 밥·국·샐러드 리필 후기가 있으며 주차 공간은 좁다.,혼밥,A,"료카츠은(는) 전북대·금암동권에 있는 돈가스 식당입니다. 대표 메뉴는 로스카츠이고 가격은 1만원대. 주차는 매장 앞 협소입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 비추천입니다. 키오스크 주문과 바 좌석이 있어 혼밥에 적합하다. 밥·국·샐러드 리필 후기가 있으며 주차 공간은 좁다."
77,금암피순대,"순대,순댓국",전북특별자치도 전주시 덕진구 금암동 729-3,덕진구,금암동,전북대·금암동권,피순대국밥,10000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"금암피순대은(는) 전북대·금암동권에 있는 순대,순댓국 식당입니다. 대표 메뉴는 피순대국밥이고 가격은 9,000~12,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
78,금암소바,"우동,소바",전북특별자치도 전주시 덕진구 금암동 729-6 금암소바,덕진구,금암동,전북대·금암동권,냉소바,7000,매장 앞 약 4대,추천,추천,추천,제한적,냉소바·비빔소바가 대표이며 매장 앞 소규모 주차가 가능하다는 후기가 있다. 가격은 오래된 자료임.,혼밥|가족식사,C,"금암소바은(는) 전북대·금암동권에 있는 우동,소바 식당입니다. 대표 메뉴는 냉소바이고 가격은 7,000원(과거 확인가). 주차는 매장 앞 약 4대입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 제한적입니다. 냉소바·비빔소바가 대표이며 매장 앞 소규모 주차가 가능하다는 후기가 있다. 가격은 오래된 자료임."
79,만추,포장마차,전북특별자치도 전주시 덕진구 금암동 1553-49 만추,덕진구,금암동,전북대·금암동권,국물닭볶음탕,36000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"만추은(는) 전북대·금암동권에 있는 포장마차 식당입니다. 대표 메뉴는 국물닭볶음탕이고 가격은 28,000~45,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
80,무진장 순두부,두부요리,전북특별자치도 전주시 덕진구 금암동 1587-7 1층무진장순두부,덕진구,금암동,전북대·금암동권,해물얼큰순두부,10000,매장 앞 약 4대+지하주차,추천,추천,추천,가능,순두부 단품과 왕갈비두부전골을 함께 운영해 혼밥부터 가족식사까지 대응 가능하다. 매장 앞·지하 주차 후기가 있음.,혼밥|가족식사|주차대안,A,"무진장 순두부은(는) 전북대·금암동권에 있는 두부요리 식당입니다. 대표 메뉴는 해물얼큰순두부이고 가격은 10,000원. 주차는 매장 앞 약 4대+지하주차입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 순두부 단품과 왕갈비두부전골을 함께 운영해 혼밥부터 가족식사까지 대응 가능하다. 매장 앞·지하 주차 후기가 있음."
81,솔뫼마을 전주본점,한식,전북특별자치도 전주시 덕진구 금암동 1587-102,덕진구,금암동,전북대·금암동권,대표 한식 정식,16000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"솔뫼마을 전주본점은(는) 전북대·금암동권에 있는 한식 식당입니다. 대표 메뉴는 대표 한식 정식이고 가격은 12,000~20,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
82,덕호수산 금암점,생선회,전북특별자치도 전주시 덕진구 금암동 1591-24,덕진구,금암동,전북대·금암동권,대방어 모둠회 대,55000,골목 주차,비추천,추천,가능,가능,대방어와 황제탕이 언급되는 횟집으로 2~4인·모임에 적합하다. 골목 주차 후기가 있어 주차는 불편할 수 있음.,주차대안,C,"덕호수산 금암점은(는) 전북대·금암동권에 있는 생선회 식당입니다. 대표 메뉴는 대방어 모둠회 대이고 가격은 55,000원(2024 확인가). 주차는 골목 주차입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 대방어와 황제탕이 언급되는 횟집으로 2~4인·모임에 적합하다. 골목 주차 후기가 있어 주차는 불편할 수 있음."
83,이연국수,국수,전북특별자치도 전주시 덕진구 인후동2가 1529-19,덕진구,인후동2가,전주역·아중리권,잔치국수,5000,전용주차 5~10대 후기,추천,추천,추천,가능,저렴한 국수집으로 혼밥과 가족식사 모두 편하며 주차와 비교적 넓은 홀 후기가 확인됨.,혼밥|가족식사|주차대안,A,"이연국수은(는) 전주역·아중리권에 있는 국수 식당입니다. 대표 메뉴는 잔치국수이고 가격은 5,000원. 주차는 전용주차 5~10대 후기입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 저렴한 국수집으로 혼밥과 가족식사 모두 편하며 주차와 비교적 넓은 홀 후기가 확인됨."
84,덴조,요리주점,전북특별자치도 전주시 덕진구 덕진동1가 1314-182 1층,덕진구,덕진동1가,전북대·덕진공원권,대표 요리주점 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"덴조은(는) 전북대·덕진공원권에 있는 요리주점 식당입니다. 대표 메뉴는 대표 요리주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
85,너를기다리는동안,"맥주,호프",전북특별자치도 전주시 덕진구 금암동 1312-50 1층 3호 너를기다리는동안,덕진구,금암동,전북대·금암동권,피자,21000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"너를기다리는동안은(는) 전북대·금암동권에 있는 맥주,호프 식당입니다. 대표 메뉴는 피자이고 가격은 16,000~26,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
86,고기듬뿍 국물두루치기 본점,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-174 1층 고기듬뿍국물두루치기 본점,덕진구,덕진동1가,전북대·덕진공원권,국물두루치기,14000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"고기듬뿍 국물두루치기 본점은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 국물두루치기이고 가격은 10,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
87,유수나,요리주점,전북특별자치도 전주시 덕진구 덕진동1가 1261-34 1층 유수나(YUSUNA),덕진구,덕진동1가,전북대·덕진공원권,골뱅이오이무침,22000,전북대 인근 유료·공영,비추천,추천,비추천,가능,골뱅이오이무침과 프렌치토스트 아이스크림이 추천되는 한식 주점으로 데이트·친구 술자리에 적합함.,술자리,B,"유수나은(는) 전북대·덕진공원권에 있는 요리주점 식당입니다. 대표 메뉴는 골뱅이오이무침이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전북대 인근 유료·공영입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 골뱅이오이무침과 프렌치토스트 아이스크림이 추천되는 한식 주점으로 데이트·친구 술자리에 적합함."
88,육연식당,"육류,고기요리",전북특별자치도 전주시 덕진구 덕진동1가 1261-34 1층,덕진구,덕진동1가,전북대·덕진공원권,고기구이,18000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"육연식당은(는) 전북대·덕진공원권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 고기구이이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
89,50end pizza,피자,전북특별자치도 전주시 덕진구 덕진동1가 1262-2 50end 피자 (코원빌딩 건물 입구 오른쪽 검정문),덕진구,덕진동1가,전북대·덕진공원권,대표 피자,21000,없음,가능,추천,가능,미확인,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,,D,"50end pizza은(는) 전북대·덕진공원권에 있는 피자 식당입니다. 대표 메뉴는 대표 피자이고 가격은 16,000~26,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 미확인입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
90,주한장,요리주점,전북특별자치도 전주시 덕진구 덕진동1가 1262-6 1층 주한장,덕진구,덕진동1가,전북대·덕진공원권,대표 요리주점 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"주한장은(는) 전북대·덕진공원권에 있는 요리주점 식당입니다. 대표 메뉴는 대표 요리주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
91,고씨네 전북대점,카레,전북특별자치도 전주시 덕진구 덕진동1가 1261-4 고씨네 전북대점,덕진구,덕진동1가,전북대·덕진공원권,치즈 스페셜 세트,13500,매장 앞 일부 가능 후기,추천,추천,가능,제한적,카레 단품·세트 중심으로 혼밥과 학생 식사에 적합하며 매장 앞 주차 가능 후기가 있으나 공간은 제한적일 수 있음.,혼밥,B,"고씨네 전북대점은(는) 전북대·덕진공원권에 있는 카레 식당입니다. 대표 메뉴는 치즈 스페셜 세트이고 가격은 13,500원. 주차는 매장 앞 일부 가능 후기입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 카레 단품·세트 중심으로 혼밥과 학생 식사에 적합하며 매장 앞 주차 가능 후기가 있으나 공간은 제한적일 수 있음."
92,미미마라 전북대본점,중식당,전북특별자치도 전주시 덕진구 덕진동1가 1312-59 미미마라 전북대본점,덕진구,덕진동1가,전북대·덕진공원권,마라탕,13000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"미미마라 전북대본점은(는) 전북대·덕진공원권에 있는 중식당 식당입니다. 대표 메뉴는 마라탕이고 가격은 10,000~16,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
93,이너프샐러드 전북대 본점,"다이어트,샐러드",전북특별자치도 전주시 덕진구 덕진동1가 1314-168,덕진구,덕진동1가,전북대·덕진공원권,대표 샐러드,12000,전용 없음·노상,추천,추천,가능,비추천,샐러드·가벼운 식사에 적합한 매장으로 혼밥에 유리하다. 전용주차장이 없다는 후기가 있음.,혼밥,B,"이너프샐러드 전북대 본점은(는) 전북대·덕진공원권에 있는 다이어트,샐러드 식당입니다. 대표 메뉴는 대표 샐러드이고 가격은 9,000~14,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전용 없음·노상입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 비추천입니다. 샐러드·가벼운 식사에 적합한 매장으로 혼밥에 유리하다. 전용주차장이 없다는 후기가 있음."
94,길손네학사주점,"전통,민속주점",전북특별자치도 전주시 덕진구 덕진동1가 664-25,덕진구,덕진동1가,전북대·덕진공원권,닭도리탕 한 마리,28000,전북대 인근 유료·공영,비추천,추천,제한적,추천,닭도리탕 중심의 전통 학사주점으로 여러 명이 나눠 먹는 모임에 적합하다. 가격은 과거 자료임.,단체모임|술자리,C,"길손네학사주점은(는) 전북대·덕진공원권에 있는 전통,민속주점 식당입니다. 대표 메뉴는 닭도리탕 한 마리이고 가격은 28,000원(2023 확인가). 주차는 전북대 인근 유료·공영입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 제한적, 단체 이용은 추천입니다. 닭도리탕 중심의 전통 학사주점으로 여러 명이 나눠 먹는 모임에 적합하다. 가격은 과거 자료임."
95,프프프ver.2,아시아음식,전북특별자치도 전주시 덕진구 덕진동1가 1312-58 1층 102호,덕진구,덕진동1가,전북대·덕진공원권,아시아 퓨전 요리,18000,없음,가능,추천,가능,미확인,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,,D,"프프프ver.2은(는) 전북대·덕진공원권에 있는 아시아음식 식당입니다. 대표 메뉴는 아시아 퓨전 요리이고 가격은 13,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 미확인입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
96,새벽식탁,요리주점,전북특별자치도 전주시 덕진구 덕진동1가 1312-58 지하 1층 새벽식탁,덕진구,덕진동1가,전북대·덕진공원권,대표 요리주점 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"새벽식탁은(는) 전북대·덕진공원권에 있는 요리주점 식당입니다. 대표 메뉴는 대표 요리주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
97,김치찌개잘하는집,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-161 2층,덕진구,덕진동1가,전북대·덕진공원권,김치찌개 2인,16000,없음,가능,추천,가능,가능,김치찌개 2인 메뉴와 셀프 계란 후기가 있어 2~4인 가성비 식사에 적합하다.,,B,"김치찌개잘하는집은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 김치찌개 2인이고 가격은 16,000원. 주차는 없음입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 김치찌개 2인 메뉴와 셀프 계란 후기가 있어 2~4인 가성비 식사에 적합하다."
98,주모,한식,전북특별자치도 전주시 덕진구 덕진동1가 1262-1 1층,덕진구,덕진동1가,전북대·덕진공원권,대표 한식 안주,13000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"주모은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 대표 한식 안주이고 가격은 9,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
99,구구양꼬치,양꼬치,전북특별자치도 전주시 덕진구 덕진동1가 1261-2 2층,덕진구,덕진동1가,전북대·덕진공원권,양꼬치,17000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"구구양꼬치은(는) 전북대·덕진공원권에 있는 양꼬치 식당입니다. 대표 메뉴는 양꼬치이고 가격은 14,000~20,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
100,순정닭발 전북대점,닭발,전북특별자치도 전주시 덕진구 덕진동1가 1314-157,덕진구,덕진동1가,전북대·덕진공원권,국물닭발,23000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"순정닭발 전북대점은(는) 전북대·덕진공원권에 있는 닭발 식당입니다. 대표 메뉴는 국물닭발이고 가격은 18,000~28,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
101,해이루 전북대본점,감자탕,전북특별자치도 전주시 덕진구 덕진동1가 1277-14 해이루,덕진구,덕진동1가,전북대·덕진공원권,감자탕,38000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"해이루 전북대본점은(는) 전북대·덕진공원권에 있는 감자탕 식당입니다. 대표 메뉴는 감자탕이고 가격은 30,000~45,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
102,민속광장,술집,전북특별자치도 전주시 덕진구 덕진동1가 1276-1,덕진구,덕진동1가,전북대·덕진공원권,생갈비,16000,매장 주변·지원 가능 후기,비추천,추천,추천,추천,생갈비·삼겹살 중심의 고깃집으로 가족·단체 식사에 적합하며 주차 지원 또는 주변 주차 후기가 있다.,가족식사|단체모임|술자리,B,"민속광장은(는) 전북대·덕진공원권에 있는 술집 식당입니다. 대표 메뉴는 생갈비이고 가격은 16,000원. 주차는 매장 주변·지원 가능 후기입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 생갈비·삼겹살 중심의 고깃집으로 가족·단체 식사에 적합하며 주차 지원 또는 주변 주차 후기가 있다."
103,주인테이블 전북대본점,한식,전북특별자치도 전주시 덕진구 덕진동1가 1312-68 1층 주인테이블,덕진구,덕진동1가,전북대·덕진공원권,대표 한식 메뉴,12000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"주인테이블 전북대본점은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 대표 한식 메뉴이고 가격은 9,000~16,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
104,동네불막창&닭발 본점,한식,전북특별자치도 전주시 덕진구 덕진동1가 1277-1 1층,덕진구,덕진동1가,전북대·덕진공원권,국물닭발,23000,전용 없음,비추천,추천,비추천,가능,맵기 조절 가능한 국물닭발과 막창이 중심이며 술자리 방문에 적합하다. 주차가 없고 붐비는 후기가 있음.,,B,"동네불막창&닭발 본점은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 국물닭발이고 가격은 18,000~28,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전용 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 맵기 조절 가능한 국물닭발과 막창이 중심이며 술자리 방문에 적합하다. 주차가 없고 붐비는 후기가 있음."
105,광장포차타운,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-200 2층,덕진구,덕진동1가,전북대·덕진공원권,포차 안주,22000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"광장포차타운은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 포차 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
106,어반핑거,샌드위치,전북특별자치도 전주시 덕진구 덕진동1가 664-1 102호,덕진구,덕진동1가,전북대·덕진공원권,대표 샌드위치,10000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"어반핑거은(는) 전북대·덕진공원권에 있는 샌드위치 식당입니다. 대표 메뉴는 대표 샌드위치이고 가격은 7,000~12,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
107,연어회상,일식당,전북특별자치도 전주시 덕진구 금암동 1543-8,덕진구,금암동,전북대·금암동권,연어회,35000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"연어회상은(는) 전북대·금암동권에 있는 일식당 식당입니다. 대표 메뉴는 연어회이고 가격은 25,000~45,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
108,공룡코딱지가맥,"맥주,호프",전북특별자치도 전주시 덕진구 금암동 1590-22,덕진구,금암동,전북대·금암동권,가맥 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"공룡코딱지가맥은(는) 전북대·금암동권에 있는 맥주,호프 식당입니다. 대표 메뉴는 가맥 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
109,곰곰김밥,종합분식,전북특별자치도 전주시 덕진구 금암동 105-395 1층 곰곰김밥,덕진구,금암동,전북대·금암동권,곰곰김밥,4000,전용 없음,추천,가능,가능,비추천,김밥·돈가스·제육덮밥 등 분식 메뉴가 있고 매장이 작다. 전용주차장이 없어 전북대병원 주차 등 대안이 필요함.,혼밥,A,"곰곰김밥은(는) 전북대·금암동권에 있는 종합분식 식당입니다. 대표 메뉴는 곰곰김밥이고 가격은 4,000원. 주차는 전용 없음입니다. 혼밥은 추천, 2~4인은 가능, 가족식사는 가능, 단체 이용은 비추천입니다. 김밥·돈가스·제육덮밥 등 분식 메뉴가 있고 매장이 작다. 전용주차장이 없어 전북대병원 주차 등 대안이 필요함."
110,조기종의향미각 전주점,중식당,전북특별자치도 전주시 덕진구 금암동 1596-7,덕진구,금암동,전북대·금암동권,알꼬막짬뽕,10000,없음,추천,추천,추천,가능,알꼬막짬뽕이 브랜드 대표메뉴이며 중식 특성상 혼밥·가족식사에 모두 적합하다. 전주점 가격·주차는 최종 확인 필요.,혼밥|가족식사,C,"조기종의향미각 전주점은(는) 전북대·금암동권에 있는 중식당 식당입니다. 대표 메뉴는 알꼬막짬뽕이고 가격은 8,000~13,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 알꼬막짬뽕이 브랜드 대표메뉴이며 중식 특성상 혼밥·가족식사에 모두 적합하다. 전주점 가격·주차는 최종 확인 필요."
111,백김치새싹막회 우아본점,생선회,전북특별자치도 전주시 덕진구 우아동3가 748-9 1층 백김치새싹막회 우아본점,덕진구,우아동3가,전주역·아중리권,새싹막회 소,47000,주차 불가,비추천,추천,추천,가능,백김치·새싹과 숙성회를 함께 먹는 막회가 대표다. 가족·모임에 좋지만 주차 불가와 긴 웨이팅 후기가 반복됨.,가족식사,A,"백김치새싹막회 우아본점은(는) 전주역·아중리권에 있는 생선회 식당입니다. 대표 메뉴는 새싹막회 소이고 가격은 47,000원. 주차는 주차 불가입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 백김치·새싹과 숙성회를 함께 먹는 막회가 대표다. 가족·모임에 좋지만 주차 불가와 긴 웨이팅 후기가 반복됨."
112,동호곱창,"곱창,막창,양",전북특별자치도 전주시 덕진구 우아동3가 748-14,덕진구,우아동3가,전주역·아중리권,한우 곱창전골,27000,없음,비추천,추천,가능,가능,한우 곱이 들어간 곱창전골이 대표이며 저녁 웨이팅 후기가 있다. 2~4인 식사·술자리에 적합함.,,B,"동호곱창은(는) 전주역·아중리권에 있는 곱창,막창,양 식당입니다. 대표 메뉴는 한우 곱창전골이고 가격은 27,000원. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 한우 곱이 들어간 곱창전골이 대표이며 저녁 웨이팅 후기가 있다. 2~4인 식사·술자리에 적합함."
